,zip,ghi
2605,7110,4.070424556666667
2606,7111,4.084846178666666
2607,7112,4.089387416999999
2608,7114,4.118999958
2609,7175,4.118999958
2610,7182,4.1088929175
2611,7184,4.118999958
2612,7188,4.118999958
2613,7189,4.118999958
2614,7191,4.118999958
2615,7192,4.118999958
2616,7193,4.118999958
2617,7194,4.1088929175
2618,7195,4.118999958
2619,7198,4.118999958
2620,7199,4.118999958
2621,7201,4.118999958
2622,7202,4.102134545666666
2623,7203,4.09848320475
2624,7204,4.0855169295
2625,7205,4.084846178666666
2626,7206,4.089387416999999
2627,7207,4.089387416999999
2628,7208,4.084846178666666
2629,7302,4.103000641
2630,7303,4.103000641
2631,7304,4.103000641
2632,7305,4.103000641
2633,7306,4.100893259
2634,7307,4.100893259
2635,7308,4.103000641
2636,7309,4.103000641
2637,7310,4.100893259
2638,7311,4.103000641
2639,7395,4.103000641
2640,7399,4.103000641
2703,7601,4.074191172833333
2704,7602,4.074191172833333
2705,7603,4.074847698200001
2706,7604,4.074847698200001
2708,7606,4.074847698200001
2709,7607,4.0681719780000005
2710,7608,4.074847698200001
2723,7643,4.074847698200001
2724,7644,4.074847698200001
2738,7663,4.0663290024
2744,7699,4.074847698200001
3757,10001,4.103000641
3758,10002,4.103000641
3759,10003,4.103000641
3760,10004,4.103000641
3761,10005,4.103000641
3762,10006,4.103000641
3763,10007,4.103000641
3764,10008,4.103000641
3765,10009,4.103000641
3766,10010,4.103000641
3767,10011,4.103000641
3768,10012,4.103000641
3769,10013,4.103000641
3770,10014,4.100893259
3771,10015,4.103000641
3772,10016,4.103000641
3773,10017,4.1071588995
3774,10018,4.103000641
3775,10019,4.103000641
3776,10020,4.103000641
3777,10021,4.1071588995
3778,10022,4.1071588995
3779,10023,4.090193748500001
3784,10028,4.097234885000001
3792,10036,4.103000641
3794,10038,4.103000641
3797,10041,4.103000641
3798,10043,4.103000641
3799,10044,4.1071588995
3800,10045,4.103000641
3801,10046,4.103000641
3802,10047,4.103000641
3803,10048,4.103000641
3804,10055,4.103000641
3805,10060,4.103000641
3806,10065,4.1071588995
3807,10069,4.090193748500001
3808,10072,4.103000641
3809,10075,4.1071588995
3810,10079,4.103000641
3811,10080,4.103000641
3812,10081,4.103000641
3813,10082,4.103000641
3814,10087,4.103000641
3815,10090,4.103000641
3816,10094,4.103000641
3817,10095,4.103000641
3818,10096,4.103000641
3819,10098,4.103000641
3820,10099,4.103000641
3821,10101,4.103000641
3822,10102,4.103000641
3823,10103,4.103000641
3824,10104,4.103000641
3825,10105,4.103000641
3826,10106,4.103000641
3827,10107,4.103000641
3828,10108,4.103000641
3829,10109,4.103000641
3830,10110,4.103000641
3831,10111,4.103000641
3832,10112,4.103000641
3833,10113,4.103000641
3834,10114,4.103000641
3836,10116,4.103000641
3837,10117,4.103000641
3838,10118,4.103000641
3839,10119,4.103000641
3840,10120,4.103000641
3841,10121,4.103000641
3842,10122,4.103000641
3843,10123,4.103000641
3844,10124,4.103000641
3845,10125,4.103000641
3846,10126,4.103000641
3847,10128,4.097234885000001
3848,10129,4.103000641
3849,10130,4.103000641
3850,10131,4.103000641
3851,10132,4.103000641
3852,10133,4.103000641
3853,10138,4.103000641
3854,10149,4.103000641
3855,10150,4.103000641
3856,10151,4.103000641
3857,10152,4.1071588995
3858,10153,4.1071588995
3859,10154,4.1071588995
3860,10155,4.103000641
3861,10156,4.103000641
3862,10157,4.103000641
3863,10158,4.103000641
3864,10159,4.103000641
3865,10160,4.103000641
3866,10161,4.103000641
3867,10162,4.1071588995
3868,10163,4.103000641
3869,10164,4.103000641
3870,10165,4.103000641
3871,10166,4.103000641
3872,10167,4.1071588995
3873,10168,4.103000641
3874,10169,4.103000641
3875,10170,4.103000641
3876,10171,4.1071588995
3877,10172,4.1071588995
3878,10173,4.103000641
3879,10174,4.103000641
3880,10175,4.103000641
3881,10176,4.103000641
3882,10177,4.103000641
3883,10178,4.103000641
3884,10179,4.103000641
3885,10184,4.103000641
3886,10185,4.103000641
3887,10196,4.103000641
3888,10197,4.103000641
3889,10199,4.103000641
3890,10200,4.1071588995
3891,10203,4.103000641
3892,10211,4.103000641
3893,10212,4.103000641
3894,10213,4.103000641
3895,10242,4.103000641
3896,10249,4.103000641
3897,10256,4.103000641
3898,10257,4.103000641
3899,10258,4.103000641
3900,10259,4.103000641
3901,10260,4.103000641
3902,10261,4.103000641
3903,10265,4.103000641
3904,10268,4.103000641
3905,10269,4.103000641
3906,10270,4.103000641
3907,10271,4.103000641
3908,10272,4.103000641
3909,10273,4.103000641
3910,10274,4.103000641
3911,10275,4.103000641
3912,10276,4.103000641
3913,10277,4.103000641
3914,10278,4.103000641
3915,10279,4.103000641
3916,10280,4.103000641
3917,10281,4.103000641
3918,10282,4.103000641
3919,10285,4.103000641
3920,10286,4.103000641
3921,10292,4.103000641
3922,10301,4.10741806
3923,10302,4.113209009
3924,10303,4.112685998333333
3925,10304,4.10741806
3926,10305,4.131309986
3927,10306,4.1331822872499995
3929,10308,4.127206643333333
3931,10310,4.10741806
3932,10311,4.112685998333333
3933,10312,4.12331497675
3934,10313,4.1331822872499995
3935,10314,4.12331497675
4149,11101,4.120105902333333
4150,11102,4.102597554666667
4151,11103,4.102597554666667
4152,11104,4.120105902333333
4153,11105,4.09629488
4154,11106,4.102597554666667
4155,11109,4.1071588995
4156,11120,4.120105902333333
4157,11201,4.103000641
4158,11202,none
4159,11203,none
4160,11204,none
4161,11205,4.1071588995
4162,11206,4.1071588995
4163,11207,4.134438991333334
4164,11208,4.14702594275
4165,11209,4.10741806
4166,11210,none
4167,11211,4.1071588995
4168,11212,4.145999908
4169,11213,4.111317158
4170,11214,4.155201912
4171,11215,none
4172,11216,4.111317158
4173,11217,none
4174,11218,none
4175,11219,none
4176,11220,none
4177,11221,4.120105902333333
4178,11222,4.1071588995
4179,11223,4.155201912
4180,11224,4.1531555655000005
4181,11225,none
4182,11226,none
4183,11228,none
4184,11229,4.155201912
4185,11230,none
4186,11231,none
4187,11232,none
4188,11233,4.128658533
4189,11234,4.145999908
4190,11235,4.1531555655000005
4191,11236,4.145999908
4192,11237,4.120105902333333
4193,11238,4.111317158
4194,11239,4.145999908
4195,11240,4.103000641
4196,11241,none
4197,11242,none
4198,11243,none
4199,11244,none
4200,11245,none
4201,11247,none
4202,11248,4.103000641
4203,11249,none
4204,11251,none
4205,11252,none
4206,11254,4.103000641
4207,11255,4.103000641
4208,11256,none
4212,11355,4.141709168666667
4215,11358,4.130878584714286
4224,11367,4.141709168666667
4225,11368,4.138220882400001
4226,11369,4.113448143
4227,11370,4.113448143
4229,11372,4.12657940375
4230,11373,4.12657940375
4231,11374,4.138220882400001
4232,11375,4.138220882400001
4233,11377,4.12657940375
4234,11378,4.12657940375
4235,11379,4.12657940375
4236,11380,4.138220882400001
4238,11385,4.12657940375
4239,11386,4.12657940375
4245,11414,4.1589288710000005
4246,11415,4.141709168666667
4247,11416,4.14702594275
4248,11417,4.14702594275
4249,11418,4.138220882400001
4250,11419,4.141709168666667
4251,11420,4.1494508742
4252,11421,4.138220882400001
4255,11424,4.141709168666667
4256,11425,none
4266,11435,4.141709168666667
4268,11437,none
4305,11569,4.1609571456
4328,11694,4.156973958
4330,11697,4.150770346333333
4336,11706,4.158443928
4346,11718,4.158443928
4356,11730,4.155636072249999
4373,11751,4.155308723599999
4544,12108,none
4565,12139,none
4584,12164,none
4607,12190,none
4683,12410,3.9097824095999996
4688,12416,3.9339098452
4711,12442,3.9186970507142855
4717,12450,3.9267641703333336
4730,12464,3.9267271040000002
4742,12480,3.8960219620000003
4756,12495,3.9333698351666673
4901,12808,none
4903,12810,3.879331827
4904,12811,none
4905,12812,none
4906,12814,3.821393013
4907,12815,none
4909,12817,3.859158278
4922,12835,3.900611083
4923,12836,3.805242896
4927,12841,3.8294486526
4928,12842,none
4929,12843,none
4933,12847,none
4937,12851,none
4938,12852,none
4939,12853,none
4941,12855,none
4942,12856,none
4943,12857,none
4944,12858,none
4946,12860,none
4948,12862,none
4950,12864,none
4953,12870,none
4955,12872,none
4957,12874,3.8093216898
4958,12878,none
4959,12879,none
4962,12885,3.8652087053333335
4963,12886,none
4969,12912,3.781370401
4970,12913,none
4979,12922,3.705000162
4983,12927,3.6971403360000004
4984,12928,3.781330049
4987,12932,none
4993,12939,none
4994,12941,none
4995,12942,none
4996,12943,none
4998,12945,none
4999,12946,none
5001,12950,none
5002,12952,3.7173725604
5005,12956,3.7805641493333333
5009,12960,3.7759025695
5010,12961,3.7805641493333333
5012,12964,none
5017,12970,none
5019,12973,none
5022,12976,3.690000534
5023,12977,none
5024,12978,3.78162384
5026,12980,3.6962969305
5028,12983,none
5030,12986,none
5031,12987,none
5032,12989,3.6600003240000003
5036,12996,3.7537373544000006
5037,12997,3.780321836
5038,12998,3.7826650145
5203,13331,none
5220,13353,3.7563856839999996
5224,13360,none
5247,13420,3.707574606
5256,13436,none
5279,13472,3.7175045806666667
5370,13672,3.702894052
5390,13695,3.695881367
6697,16347,3.7810952188
6863,16728,3.809056788875
7934,19120,4.132415506666667
7936,19122,4.142579555625
7938,19124,4.128400166888889
7939,19125,4.141546037555555
7948,19134,4.1317808628999995
8845,20901,4.241078959444444
8851,20907,4.241078959444444
8852,20908,4.241078959444444
8853,20910,4.241078959444444
8854,20911,4.241078959444444
8855,20912,4.241078959444444
8856,20913,4.241078959444444
8857,20914,4.241078959444444
8858,20915,4.241078959444444
8859,20916,4.241078959444444
8860,20918,4.241078959444444
8862,20997,4.241078959444444
9111,21666,4.2952603341
9211,21824,4.432108283
9235,21866,4.448098421
9860,23440,4.485480785333333
9893,23504,4.46657603975
9898,23509,4.466877732857143
9902,23513,4.466877732857143
9906,23518,4.471931729857142
10274,24412,4.228642702
10279,24422,4.332226435333333
10280,24426,4.2872116565
10283,24432,4.301490307
10287,24438,4.33877527725
10292,24445,none
10293,24448,4.341170120399999
10295,24457,4.309263706
10308,24474,4.309263706
10314,24484,4.269344965666667
10503,24927,4.1525083270000005
11058,26254,4.011095319428572
11710,27915,none
11714,27920,none
11727,27936,none
11733,27943,none
11737,27948,4.542071183333333
11741,27954,4.51960659
11745,27959,4.536968231
11746,27960,none
11752,27968,none
11755,27972,none
11759,27978,4.5420436854999995
11762,27981,4.502244949
11763,27982,none
12172,28604,4.36511003975
12183,28616,none
12188,28622,4.362081051
12205,28641,4.4962688685
12210,28646,4.388419819
12211,28647,4.5167868134999996
12215,28652,4.38107872
12216,28653,4.4757509235
12220,28657,4.376353502
12225,28662,4.4757509235
12227,28664,4.500795364
12263,28705,4.343925953
12274,28717,4.572453658000001
12280,28723,4.4976657630000005
12291,28734,4.550039291
12293,28736,4.545897643
12297,28740,4.391567707
12298,28741,4.614854574000001
12301,28744,4.550039291
12320,28763,none
12321,28765,4.422360658500001
12325,28771,4.413362503
12329,28775,4.6417849065
12331,28777,4.5167868134999996
12334,28781,4.532048543333333
12336,28783,4.503158450250001
12358,28901,4.554370880333333
12469,29178,4.7079622404285715
12593,29438,4.864542722833334
12882,29920,4.873183409166667
13291,30525,4.633687973000001
13301,30537,none
13322,30562,4.633687973000001
13328,30568,4.615331173
13664,31522,4.9289307594
13693,31561,4.926663398750001
13927,32134,4.9686106045
14058,32335,4.926898161666667
14328,32801,5.066251135
14329,32802,5.065857800727273
14333,32806,5.065857800727273
14341,32815,5.065857800727273
14342,32816,5.065857800727273
14359,32834,5.065857800727273
14364,32853,5.065857800727273
14365,32854,5.065857800727273
14366,32855,5.065857800727273
14367,32856,5.065857800727273
14368,32857,5.065857800727273
14369,32858,5.065857800727273
14370,32859,5.065857800727273
14371,32860,5.065857800727273
14372,32861,5.065857800727273
14373,32862,5.065857800727273
14374,32867,5.065857800727273
14375,32868,5.065857800727273
14376,32869,5.065857800727273
14377,32872,5.065857800727273
14378,32877,5.065857800727273
14379,32878,5.065857800727273
14381,32886,5.065857800727273
14382,32887,5.065857800727273
14384,32891,5.065857800727273
14387,32897,5.065857800727273
14388,32898,5.066251135
14389,32899,5.065857800727273
14444,33001,none
14445,33002,5.213777542166667
14446,33004,5.142624378
14447,33008,none
14448,33009,none
14449,33010,5.213777542166667
14450,33011,5.213777542166667
14451,33012,5.213777542166667
14452,33013,5.213777542166667
14453,33014,5.181441784
14456,33017,5.213777542166667
14458,33019,5.142624378
14459,33020,5.143868446
14460,33021,5.168682098250001
14461,33022,5.143868446
14462,33023,5.1739532947499995
14463,33024,5.1681851386
14464,33025,5.172578239399999
14473,33034,5.199398756000001
14475,33036,none
14476,33037,none
14478,33040,none
14479,33041,none
14480,33042,none
14481,33043,none
14482,33045,none
14483,33050,none
14484,33051,none
14485,33052,none
14486,33054,5.180066704750001
14487,33055,5.180066704750001
14488,33056,5.180066704750001
